d,uh,u
0,1.5,1.5
0.0005,1.5,1.5
0.001,1.5,1.5
0.0015,1.5,1.5
0.002,1.49999,1.49999
0.0025,1.49999,1.49999
0.003,1.49999,1.49999
0.0035,1.49998,1.49998
0.004,1.49998,1.49998
0.0045,1.49997,1.49997
0.005,1.49996,1.49996
0.0055,1.49995,1.49995
0.006,1.49995,1.49995
0.0065,1.49994,1.49994
0.007,1.49993,1.49993
0.0075,1.49992,1.49992
0.008,1.4999,1.4999
0.0085,1.49989,1.49989
0.009,1.49988,1.49988
0.0095,1.49986,1.49986
0.01,1.49985,1.49985
0.0105,1.49983,1.49983
0.011,1.49982,1.49982
0.0115,1.4998,1.4998
0.012,1.49978,1.49978
0.0125,1.49977,1.49977
0.013,1.49975,1.49975
0.0135,1.49973,1.49973
0.014,1.49971,1.49971
0.0145,1.49968,1.49968
0.015,1.49966,1.49966
0.0155,1.49964,1.49964
0.016,1.49962,1.49962
0.0165,1.49959,1.49959
0.017,1.49957,1.49957
0.0175,1.49954,1.49954
0.018,1.49951,1.49951
0.0185,1.49949,1.49949
0.019,1.49946,1.49946
0.0195,1.49943,1.49943
0.02,1.4994,1.4994
0.0205,1.49937,1.49937
0.021,1.49934,1.49934
0.0215,1.49931,1.49931
0.022,1.49927,1.49927
0.0225,1.49924,1.49924
0.023,1.49921,1.49921
0.0235,1.49917,1.49917
0.024,1.49914,1.49914
0.0245,1.4991,1.4991
0.025,1.49906,1.49906
0.0255,1.49902,1.49902
0.026,1.49899,1.49899
0.0265,1.49895,1.49895
0.027,1.49891,1.49891
0.0275,1.49887,1.49887
0.028,1.49882,1.49882
0.0285,1.49878,1.49878
0.029,1.49874,1.49874
0.0295,1.49869,1.49869
0.03,1.49865,1.49865
0.0305,1.4986,1.4986
0.031,1.49856,1.49856
0.0315,1.49851,1.49851
0.032,1.49846,1.49846
0.0325,1.49842,1.49842
0.033,1.49837,1.49837
0.0335,1.49832,1.49832
0.034,1.49827,1.49827
0.0345,1.49821,1.49821
0.035,1.49816,1.49816
0.0355,1.49811,1.49811
0.036,1.49806,1.49806
0.0365,1.498,1.498
0.037,1.49795,1.49795
0.0375,1.49789,1.49789
0.038,1.49783,1.49783
0.0385,1.49778,1.49778
0.039,1.49772,1.49772
0.0395,1.49766,1.49766
0.04,1.4976,1.4976
0.0405,1.49754,1.49754
0.041,1.49748,1.49748
0.0415,1.49742,1.49742
0.042,1.49735,1.49735
0.0425,1.49729,1.49729
0.043,1.49723,1.49723
0.0435,1.49716,1.49716
0.044,1.4971,1.4971
0.0445,1.49703,1.49703
0.045,1.49696,1.49696
0.0455,1.49689,1.49689
0.046,1.49683,1.49683
0.0465,1.49676,1.49676
0.047,1.49669,1.49669
0.0475,1.49662,1.49662
0.048,1.49654,1.49654
0.0485,1.49647,1.49647
0.049,1.4964,1.4964
0.0495,1.49632,1.49632
0.05,1.49625,1.49625
0.0505,1.49617,1.49617
0.051,1.4961,1.4961
0.0515,1.49602,1.49602
0.052,1.49594,1.49594
0.0525,1.49587,1.49587
0.053,1.49579,1.49579
0.0535,1.49571,1.49571
0.054,1.49563,1.49563
0.0545,1.49554,1.49554
0.055,1.49546,1.49546
0.0555,1.49538,1.49538
0.056,1.4953,1.4953
0.0565,1.49521,1.49521
0.057,1.49513,1.49513
0.0575,1.49504,1.49504
0.058,1.49495,1.49495
0.0585,1.49487,1.49487
0.059,1.49478,1.49478
0.0595,1.49469,1.49469
0.06,1.4946,1.4946
0.0605,1.49451,1.49451
0.061,1.49442,1.49442
0.0615,1.49433,1.49433
0.062,1.49423,1.49423
0.0625,1.49414,1.49414
0.063,1.49405,1.49405
0.0635,1.49395,1.49395
0.064,1.49386,1.49386
0.0645,1.49376,1.49376
0.065,1.49366,1.49366
0.0655,1.49356,1.49356
0.066,1.49347,1.49347
0.0665,1.49337,1.49337
0.067,1.49327,1.49327
0.0675,1.49317,1.49317
0.068,1.49306,1.49306
0.0685,1.49296,1.49296
0.069,1.49286,1.49286
0.0695,1.49275,1.49275
0.07,1.49265,1.49265
0.0705,1.49254,1.49254
0.071,1.49244,1.49244
0.0715,1.49233,1.49233
0.072,1.49222,1.49222
0.0725,1.49212,1.49212
0.073,1.49201,1.49201
0.0735,1.4919,1.4919
0.074,1.49179,1.49179
0.0745,1.49167,1.49167
0.075,1.49156,1.49156
0.0755,1.49145,1.49145
0.076,1.49134,1.49134
0.0765,1.49122,1.49122
0.077,1.49111,1.49111
0.0775,1.49099,1.49099
0.078,1.49087,1.49087
0.0785,1.49076,1.49076
0.079,1.49064,1.49064
0.0795,1.49052,1.49052
0.08,1.4904,1.4904
0.0805,1.49028,1.49028
0.081,1.49016,1.49016
0.0815,1.49004,1.49004
0.082,1.48991,1.48991
0.0825,1.48979,1.48979
0.083,1.48967,1.48967
0.0835,1.48954,1.48954
0.084,1.48942,1.48942
0.0845,1.48929,1.48929
0.085,1.48916,1.48916
0.0855,1.48903,1.48903
0.086,1.48891,1.48891
0.0865,1.48878,1.48878
0.087,1.48865,1.48865
0.0875,1.48852,1.48852
0.088,1.48838,1.48838
0.0885,1.48825,1.48825
0.089,1.48812,1.48812
0.0895,1.48798,1.48798
0.09,1.48785,1.48785
0.0905,1.48771,1.48771
0.091,1.48758,1.48758
0.0915,1.48744,1.48744
0.092,1.4873,1.4873
0.0925,1.48717,1.48717
0.093,1.48703,1.48703
0.0935,1.48689,1.48689
0.094,1.48675,1.48675
0.0945,1.4866,1.4866
0.095,1.48646,1.48646
0.0955,1.48632,1.48632
0.096,1.48618,1.48618
0.0965,1.48603,1.48603
0.097,1.48589,1.48589
0.0975,1.48574,1.48574
0.098,1.48559,1.48559
0.0985,1.48545,1.48545
0.099,1.4853,1.4853
0.0995,1.48515,1.48515
0.1,1.485,1.485
0.1005,1.48485,1.48485
0.101,1.4847,1.4847
0.1015,1.48455,1.48455
0.102,1.48439,1.48439
0.1025,1.48424,1.48424
0.103,1.48409,1.48409
0.1035,1.48393,1.48393
0.104,1.48378,1.48378
0.1045,1.48362,1.48362
0.105,1.48346,1.48346
0.1055,1.4833,1.4833
0.106,1.48315,1.48315
0.1065,1.48299,1.48299
0.107,1.48283,1.48283
0.1075,1.48267,1.48267
0.108,1.4825,1.4825
0.1085,1.48234,1.48234
0.109,1.48218,1.48218
0.1095,1.48201,1.48201
0.11,1.48185,1.48185
0.1105,1.48168,1.48168
0.111,1.48152,1.48152
0.1115,1.48135,1.48135
0.112,1.48118,1.48118
0.1125,1.48102,1.48102
0.113,1.48085,1.48085
0.1135,1.48068,1.48068
0.114,1.48051,1.48051
0.1145,1.48033,1.48033
0.115,1.48016,1.48016
0.1155,1.47999,1.47999
0.116,1.47982,1.47982
0.1165,1.47964,1.47964
0.117,1.47947,1.47947
0.1175,1.47929,1.47929
0.118,1.47911,1.47911
0.1185,1.47894,1.47894
0.119,1.47876,1.47876
0.1195,1.47858,1.47858
0.12,1.4784,1.4784
0.1205,1.47822,1.47822
0.121,1.47804,1.47804
0.1215,1.47786,1.47786
0.122,1.47767,1.47767
0.1225,1.47749,1.47749
0.123,1.47731,1.47731
0.1235,1.47712,1.47712
0.124,1.47694,1.47694
0.1245,1.47675,1.47675
0.125,1.47656,1.47656
0.1255,1.47637,1.47637
0.126,1.47619,1.47619
0.1265,1.476,1.476
0.127,1.47581,1.47581
0.1275,1.47562,1.47562
0.128,1.47542,1.47542
0.1285,1.47523,1.47523
0.129,1.47504,1.47504
0.1295,1.47484,1.47484
0.13,1.47465,1.47465
0.1305,1.47445,1.47445
0.131,1.47426,1.47426
0.1315,1.47406,1.47406
0.132,1.47386,1.47386
0.1325,1.47367,1.47367
0.133,1.47347,1.47347
0.1335,1.47327,1.47327
0.134,1.47307,1.47307
0.1345,1.47286,1.47286
0.135,1.47266,1.47266
0.1355,1.47246,1.47246
0.136,1.47226,1.47226
0.1365,1.47205,1.47205
0.137,1.47185,1.47185
0.1375,1.47164,1.47164
0.138,1.47143,1.47143
0.1385,1.47123,1.47123
0.139,1.47102,1.47102
0.1395,1.47081,1.47081
0.14,1.4706,1.4706
0.1405,1.47039,1.47039
0.141,1.47018,1.47018
0.1415,1.46997,1.46997
0.142,1.46975,1.46975
0.1425,1.46954,1.46954
0.143,1.46933,1.46933
0.1435,1.46911,1.46911
0.144,1.4689,1.4689
0.1445,1.46868,1.46868
0.145,1.46846,1.46846
0.1455,1.46824,1.46824
0.146,1.46803,1.46803
0.1465,1.46781,1.46781
0.147,1.46759,1.46759
0.1475,1.46737,1.46737
0.148,1.46714,1.46714
0.1485,1.46692,1.46692
0.149,1.4667,1.4667
0.1495,1.46647,1.46647
0.15,1.46625,1.46625
0.1505,1.46602,1.46602
0.151,1.4658,1.4658
0.1515,1.46557,1.46557
0.152,1.46534,1.46534
0.1525,1.46512,1.46512
0.153,1.46489,1.46489
0.1535,1.46466,1.46466
0.154,1.46443,1.46443
0.1545,1.46419,1.46419
0.155,1.46396,1.46396
0.1555,1.46373,1.46373
0.156,1.4635,1.4635
0.1565,1.46326,1.46326
0.157,1.46303,1.46303
0.1575,1.46279,1.46279
0.158,1.46255,1.46255
0.1585,1.46232,1.46232
0.159,1.46208,1.46208
0.1595,1.46184,1.46184
0.16,1.4616,1.4616
0.1605,1.46136,1.46136
0.161,1.46112,1.46112
0.1615,1.46088,1.46088
0.162,1.46063,1.46063
0.1625,1.46039,1.46039
0.163,1.46015,1.46015
0.1635,1.4599,1.4599
0.164,1.45966,1.45966
0.1645,1.45941,1.45941
0.165,1.45916,1.45916
0.1655,1.45891,1.45891
0.166,1.45867,1.45867
0.1665,1.45842,1.45842
0.167,1.45817,1.45817
0.1675,1.45792,1.45792
0.168,1.45766,1.45766
0.1685,1.45741,1.45741
0.169,1.45716,1.45716
0.1695,1.4569,1.4569
0.17,1.45665,1.45665
0.1705,1.45639,1.45639
0.171,1.45614,1.45614
0.1715,1.45588,1.45588
0.172,1.45562,1.45562
0.1725,1.45537,1.45537
0.173,1.45511,1.45511
0.1735,1.45485,1.45485
0.174,1.45459,1.45459
0.1745,1.45432,1.45432
0.175,1.45406,1.45406
0.1755,1.4538,1.4538
0.176,1.45354,1.45354
0.1765,1.45327,1.45327
0.177,1.45301,1.45301
0.1775,1.45274,1.45274
0.178,1.45247,1.45247
0.1785,1.45221,1.45221
0.179,1.45194,1.45194
0.1795,1.45167,1.45167
0.18,1.4514,1.4514
0.1805,1.45113,1.45113
0.181,1.45086,1.45086
0.1815,1.45059,1.45059
0.182,1.45031,1.45031
0.1825,1.45004,1.45004
0.183,1.44977,1.44977
0.1835,1.44949,1.44949
0.184,1.44922,1.44922
0.1845,1.44894,1.44894
0.185,1.44866,1.44866
0.1855,1.44838,1.44838
0.186,1.44811,1.44811
0.1865,1.44783,1.44783
0.187,1.44755,1.44755
0.1875,1.44727,1.44727
0.188,1.44698,1.44698
0.1885,1.4467,1.4467
0.189,1.44642,1.44642
0.1895,1.44613,1.44613
0.19,1.44585,1.44585
0.1905,1.44556,1.44556
0.191,1.44528,1.44528
0.1915,1.44499,1.44499
0.192,1.4447,1.4447
0.1925,1.44442,1.44442
0.193,1.44413,1.44413
0.1935,1.44384,1.44384
0.194,1.44355,1.44355
0.1945,1.44325,1.44325
0.195,1.44296,1.44296
0.1955,1.44267,1.44267
0.196,1.44238,1.44238
0.1965,1.44208,1.44208
0.197,1.44179,1.44179
0.1975,1.44149,1.44149
0.198,1.44119,1.44119
0.1985,1.4409,1.4409
0.199,1.4406,1.4406
0.1995,1.4403,1.4403
0.2,1.44,1.44
0.2005,1.4397,1.4397
0.201,1.4394,1.4394
0.2015,1.4391,1.4391
0.202,1.43879,1.43879
0.2025,1.43849,1.43849
0.203,1.43819,1.43819
0.2035,1.43788,1.43788
0.204,1.43758,1.43758
0.2045,1.43727,1.43727
0.205,1.43696,1.43696
0.2055,1.43665,1.43665
0.206,1.43635,1.43635
0.2065,1.43604,1.43604
0.207,1.43573,1.43573
0.2075,1.43542,1.43542
0.208,1.4351,1.4351
0.2085,1.43479,1.43479
0.209,1.43448,1.43448
0.2095,1.43416,1.43416
0.21,1.43385,1.43385
0.2105,1.43353,1.43353
0.211,1.43322,1.43322
0.2115,1.4329,1.4329
0.212,1.43258,1.43258
0.2125,1.43227,1.43227
0.213,1.43195,1.43195
0.2135,1.43163,1.43163
0.214,1.43131,1.43131
0.2145,1.43098,1.43098
0.215,1.43066,1.43066
0.2155,1.43034,1.43034
0.216,1.43002,1.43002
0.2165,1.42969,1.42969
0.217,1.42937,1.42937
0.2175,1.42904,1.42904
0.218,1.42871,1.42871
0.2185,1.42839,1.42839
0.219,1.42806,1.42806
0.2195,1.42773,1.42773
0.22,1.4274,1.4274
0.2205,1.42707,1.42707
0.221,1.42674,1.42674
0.2215,1.42641,1.42641
0.222,1.42607,1.42607
0.2225,1.42574,1.42574
0.223,1.42541,1.42541
0.2235,1.42507,1.42507
0.224,1.42474,1.42474
0.2245,1.4244,1.4244
0.225,1.42406,1.42406
0.2255,1.42372,1.42372
0.226,1.42339,1.42339
0.2265,1.42305,1.42305
0.227,1.42271,1.42271
0.2275,1.42237,1.42237
0.228,1.42202,1.42202
0.2285,1.42168,1.42168
0.229,1.42134,1.42134
0.2295,1.42099,1.42099
0.23,1.42065,1.42065
0.2305,1.4203,1.4203
0.231,1.41996,1.41996
0.2315,1.41961,1.41961
0.232,1.41926,1.41926
0.2325,1.41892,1.41892
0.233,1.41857,1.41857
0.2335,1.41822,1.41822
0.234,1.41787,1.41787
0.2345,1.41751,1.41751
0.235,1.41716,1.41716
0.2355,1.41681,1.41681
0.236,1.41646,1.41646
0.2365,1.4161,1.4161
0.237,1.41575,1.41575
0.2375,1.41539,1.41539
0.238,1.41503,1.41503
0.2385,1.41468,1.41468
0.239,1.41432,1.41432
0.2395,1.41396,1.41396
0.24,1.4136,1.4136
0.2405,1.41324,1.41324
0.241,1.41288,1.41288
0.2415,1.41252,1.41252
0.242,1.41215,1.41215
0.2425,1.41179,1.41179
0.243,1.41143,1.41143
0.2435,1.41106,1.41106
0.244,1.4107,1.4107
0.2445,1.41033,1.41033
0.245,1.40996,1.40996
0.2455,1.40959,1.40959
0.246,1.40923,1.40923
0.2465,1.40886,1.40886
0.247,1.40849,1.40849
0.2475,1.40812,1.40812
0.248,1.40774,1.40774
0.2485,1.40737,1.40737
0.249,1.407,1.407
0.2495,1.40662,1.40662
0.25,1.40625,1.40625
0.2505,1.40587,1.40587
0.251,1.4055,1.4055
0.2515,1.40512,1.40512
0.252,1.40474,1.40474
0.2525,1.40437,1.40437
0.253,1.40399,1.40399
0.2535,1.40361,1.40361
0.254,1.40323,1.40323
0.2545,1.40284,1.40284
0.255,1.40246,1.40246
0.2555,1.40208,1.40208
0.256,1.4017,1.4017
0.2565,1.40131,1.40131
0.257,1.40093,1.40093
0.2575,1.40054,1.40054
0.258,1.40015,1.40015
0.2585,1.39977,1.39977
0.259,1.39938,1.39938
0.2595,1.39899,1.39899
0.26,1.3986,1.3986
0.2605,1.39821,1.39821
0.261,1.39782,1.39782
0.2615,1.39743,1.39743
0.262,1.39703,1.39703
0.2625,1.39664,1.39664
0.263,1.39625,1.39625
0.2635,1.39585,1.39585
0.264,1.39546,1.39546
0.2645,1.39506,1.39506
0.265,1.39466,1.39466
0.2655,1.39426,1.39426
0.266,1.39387,1.39387
0.2665,1.39347,1.39347
0.267,1.39307,1.39307
0.2675,1.39267,1.39267
0.268,1.39226,1.39226
0.2685,1.39186,1.39186
0.269,1.39146,1.39146
0.2695,1.39105,1.39105
0.27,1.39065,1.39065
0.2705,1.39024,1.39024
0.271,1.38984,1.38984
0.2715,1.38943,1.38943
0.272,1.38902,1.38902
0.2725,1.38862,1.38862
0.273,1.38821,1.38821
0.2735,1.3878,1.3878
0.274,1.38739,1.38739
0.2745,1.38697,1.38697
0.275,1.38656,1.38656
0.2755,1.38615,1.38615
0.276,1.38574,1.38574
0.2765,1.38532,1.38532
0.277,1.38491,1.38491
0.2775,1.38449,1.38449
0.278,1.38407,1.38407
