d,uh,u
0,0.0833417,0.0833333
0.005,0.0833417,0.0833333
0.01,0.0833417,0.0833333
0.015,0.0833417,0.0833333
0.02,0.0833417,0.0833333
0.025,0.0833416,0.0833333
0.03,0.0833416,0.0833333
0.035,0.0833415,0.0833332
0.04,0.0833414,0.0833331
0.045,0.0833413,0.083333
0.05,0.0833411,0.0833328
0.055,0.0833408,0.0833326
0.06,0.0833406,0.0833323
0.065,0.0833401,0.0833318
0.07,0.0833396,0.0833313
0.075,0.0833389,0.0833307
0.08,0.0833382,0.0833299
0.085,0.0833372,0.083329
0.09,0.0833361,0.0833279
0.095,0.0833347,0.0833265
0.1,0.0833333,0.083325
0.105,0.0833313,0.0833232
0.11,0.0833294,0.0833211
0.115,0.0833268,0.0833188
0.12,0.0833243,0.0833161
0.125,0.083321,0.083313
0.13,0.0833177,0.0833095
0.135,0.0833136,0.0833057
0.14,0.0833095,0.0833013
0.145,0.0833044,0.0832965
0.15,0.0832993,0.0832911
0.155,0.0832931,0.0832852
0.16,0.0832868,0.0832787
0.165,0.0832793,0.0832716
0.17,0.0832718,0.0832637
0.175,0.0832629,0.0832552
0.18,0.0832539,0.0832459
0.185,0.0832433,0.0832357
0.19,0.0832328,0.0832247
0.195,0.0832204,0.0832128
0.2,0.083208,0.0832
0.205,0.0831936,0.0831862
0.21,0.0831792,0.0831713
0.215,0.0831626,0.0831553
0.22,0.0831461,0.0831381
0.225,0.083127,0.0831198
0.23,0.083108,0.0831001
0.235,0.0830864,0.0830792
0.24,0.0830647,0.0830569
0.245,0.0830402,0.0830331
0.25,0.0830156,0.0830078
0.255,0.082988,0.082981
0.26,0.0829603,0.0829525
0.265,0.0829292,0.0829224
0.27,0.0828982,0.0828905
0.275,0.0828635,0.0828567
0.28,0.0828288,0.0828211
0.285,0.0827902,0.0827835
0.29,0.0827516,0.0827439
0.295,0.0827087,0.0827022
0.3,0.0826659,0.0826583
0.305,0.0826186,0.0826122
0.31,0.0825713,0.0825637
0.315,0.0825191,0.0825129
0.32,0.082467,0.0824595
0.325,0.0824097,0.0824036
0.33,0.0823525,0.0823451
0.335,0.0822898,0.0822838
0.34,0.0822271,0.0822197
0.345,0.0821586,0.0821528
0.35,0.0820901,0.0820828
0.355,0.0820155,0.0820098
0.36,0.0819409,0.0819337
0.365,0.0818598,0.0818543
0.37,0.0817787,0.0817715
0.375,0.0816908,0.0816854
0.38,0.0816029,0.0815957
