d,uh,u
0,0.0833333,0.0833333
0.005,0.0833333,0.0833333
0.01,0.0833333,0.0833333
0.015,0.0833333,0.0833333
0.02,0.0833333,0.0833333
0.025,0.0833333,0.0833333
0.03,0.0833333,0.0833333
0.035,0.0833332,0.0833332
0.04,0.0833331,0.0833331
0.045,0.083333,0.083333
0.05,0.0833328,0.0833328
0.055,0.0833326,0.0833326
0.06,0.0833323,0.0833323
0.065,0.0833318,0.0833318
0.07,0.0833313,0.0833313
0.075,0.0833307,0.0833307
0.08,0.0833299,0.0833299
0.085,0.083329,0.083329
0.09,0.0833279,0.0833279
0.095,0.0833265,0.0833265
0.1,0.083325,0.083325
0.105,0.0833232,0.0833232
0.11,0.0833211,0.0833211
0.115,0.0833188,0.0833188
0.12,0.0833161,0.0833161
0.125,0.083313,0.083313
0.13,0.0833095,0.0833095
0.135,0.0833057,0.0833057
0.14,0.0833013,0.0833013
0.145,0.0832965,0.0832965
0.15,0.0832911,0.0832911
0.155,0.0832852,0.0832852
0.16,0.0832787,0.0832787
0.165,0.0832716,0.0832716
0.17,0.0832637,0.0832637
0.175,0.0832552,0.0832552
0.18,0.0832459,0.0832459
0.185,0.0832357,0.0832357
0.19,0.0832247,0.0832247
0.195,0.0832128,0.0832128
0.2,0.0832,0.0832
0.205,0.0831862,0.0831862
0.21,0.0831713,0.0831713
0.215,0.0831553,0.0831553
0.22,0.0831381,0.0831381
0.225,0.0831198,0.0831198
0.23,0.0831001,0.0831001
0.235,0.0830792,0.0830792
0.24,0.0830569,0.0830569
0.245,0.0830331,0.0830331
0.25,0.0830078,0.0830078
0.255,0.082981,0.082981
0.26,0.0829525,0.0829525
0.265,0.0829224,0.0829224
0.27,0.0828905,0.0828905
0.275,0.0828567,0.0828567
0.28,0.0828211,0.0828211
0.285,0.0827835,0.0827835
0.29,0.0827439,0.0827439
0.295,0.0827022,0.0827022
0.3,0.0826583,0.0826583
0.305,0.0826122,0.0826122
0.31,0.0825637,0.0825637
0.315,0.0825129,0.0825129
0.32,0.0824595,0.0824595
0.325,0.0824036,0.0824036
0.33,0.0823451,0.0823451
0.335,0.0822838,0.0822838
0.34,0.0822197,0.0822197
0.345,0.0821528,0.0821528
0.35,0.0820828,0.0820828
0.355,0.0820098,0.0820098
0.36,0.0819337,0.0819337
0.365,0.0818543,0.0818543
0.37,0.0817715,0.0817715
0.375,0.0816854,0.0816854
0.38,0.0815957,0.0815957
0.385,0.0815024,0.0815024
0.39,0.0814055,0.0814055
0.395,0.0813047,0.0813047
0.4,0.0812,0.0812
0.405,0.0810913,0.0810913
0.41,0.0809785,0.0809785
0.415,0.0808615,0.0808615
0.42,0.0807403,0.0807403
0.425,0.0806146,0.0806146
0.43,0.0804843,0.0804843
0.435,0.0803495,0.0803495
0.44,0.0802099,0.0802099
0.445,0.0800655,0.0800655
0.45,0.0799161,0.0799161
0.455,0.0797617,0.0797617
0.46,0.0796021,0.0796021
0.465,0.0794372,0.0794372
0.47,0.0792669,0.0792669
0.475,0.0790911,0.0790911
0.48,0.0789097,0.0789097
0.485,0.0787224,0.0787224
0.49,0.0785293,0.0785293
0.495,0.0783302,0.0783302
0.5,0.078125,0.078125
0.505,0.0779135,0.0779135
0.51,0.0776957,0.0776957
0.515,0.0774713,0.0774713
0.52,0.0772403,0.0772403
0.525,0.0770026,0.0770026
0.53,0.0767579,0.0767579
0.535,0.0765063,0.0765063
0.54,0.0762475,0.0762475
0.545,0.0759813,0.0759813
0.55,0.0757078,0.0757078
0.555,0.0754267,0.0754267
0.56,0.0751379,0.0751379
0.565,0.0748413,0.0748413
0.57,0.0745367,0.0745367
0.575,0.0742239,0.0742239
0.58,0.0739029,0.0739029
0.585,0.0735735,0.0735735
0.59,0.0732355,0.0732355
0.595,0.0728889,0.0728889
0.6,0.0725333,0.0725333
0.605,0.0721688,0.0721688
0.61,0.0717951,0.0717951
0.615,0.0714122,0.0714122
0.62,0.0710197,0.0710197
0.625,0.0706177,0.0706177
0.63,0.0702059,0.0702059
0.635,0.0697841,0.0697841
0.64,0.0693523,0.0693523
0.645,0.0689103,0.0689103
0.65,0.0684578,0.0684578
0.655,0.0679948,0.0679948
0.66,0.0675211,0.0675211
0.665,0.0670364,0.0670364
0.67,0.0665407,0.0665407
0.675,0.0660338,0.0660338
0.68,0.0655155,0.0655155
0.685,0.0649857,0.0649857
0.69,0.0644441,0.0644441
0.695,0.0638906,0.0638906
0.7,0.063325,0.063325
0.705,0.0627472,0.0627472
0.71,0.0621569,0.0621569
0.715,0.0615541,0.0615541
0.72,0.0609385,0.0609385
0.725,0.0603099,0.0603099
0.73,0.0596681,0.0596681
0.735,0.0590131,0.0590131
0.74,0.0583445,0.0583445
0.745,0.0576623,0.0576623
0.75,0.0569661,0.0569661
0.755,0.056256,0.056256
0.76,0.0555315,0.0555315
0.765,0.0547926,0.0547926
0.77,0.0540391,0.0540391
0.775,0.0532708,0.0532708
0.78,0.0524875,0.0524875
0.785,0.0516889,0.0516889
0.79,0.0508749,0.0508749
0.795,0.0500454,0.0500454
0.8,0.0492,0.0492
0.805,0.0483386,0.0483386
0.81,0.0474611,0.0474611
0.815,0.0465671,0.0465671
0.82,0.0456565,0.0456565
0.825,0.0447291,0.0447291
0.83,0.0437847,0.0437847
0.835,0.0428231,0.0428231
0.84,0.0418441,0.0418441
0.845,0.0408474,0.0408474
0.85,0.0398328,0.0398328
0.855,0.0388002,0.0388002
0.86,0.0377493,0.0377493
0.865,0.0366799,0.0366799
0.87,0.0355919,0.0355919
0.875,0.0344849,0.0344849
0.88,0.0333587,0.0333587
0.885,0.0322132,0.0322132
0.89,0.0310481,0.0310481
0.895,0.0298632,0.0298632
0.9,0.0286583,0.0286583
0.905,0.0274332,0.0274332
0.91,0.0261875,0.0261875
0.915,0.0249212,0.0249212
0.92,0.0236339,0.0236339
0.925,0.0223255,0.0223255
0.93,0.0209957,0.0209957
0.935,0.0196442,0.0196442
0.94,0.0182709,0.0182709
0.945,0.0168755,0.0168755
0.95,0.0154578,0.0154578
0.955,0.0140175,0.0140175
0.96,0.0125545,0.0125545
0.965,0.0110683,0.0110683
0.97,0.00955893,0.00955893
0.975,0.00802601,0.00802601
0.98,0.00646932,0.00646932
0.985,0.00488862,0.00488862
0.99,0.00328367,0.00328367
