d,uh,u
0.0109,1.49982,1.49982
0.01095,1.49982,1.49982
0.011,1.49982,1.49982
0.01105,1.49982,1.49982
0.0111,1.49982,1.49982
0.01115,1.49981,1.49981
0.0112,1.49981,1.49981
0.01125,1.49981,1.49981
0.0113,1.49981,1.49981
0.01135,1.49981,1.49981
0.0114,1.49981,1.49981
0.01145,1.4998,1.4998
0.0115,1.4998,1.4998
0.01155,1.4998,1.4998
0.0116,1.4998,1.4998
0.01165,1.4998,1.4998
0.0117,1.49979,1.49979
0.01175,1.49979,1.49979
0.0118,1.49979,1.49979
0.01185,1.49979,1.49979
0.0119,1.49979,1.49979
0.01195,1.49979,1.49979
0.012,1.49978,1.49978
0.01205,1.49978,1.49978
0.0121,1.49978,1.49978
0.01215,1.49978,1.49978
0.0122,1.49978,1.49978
0.01225,1.49977,1.49977
0.0123,1.49977,1.49977
0.01235,1.49977,1.49977
0.0124,1.49977,1.49977
0.01245,1.49977,1.49977
0.0125,1.49977,1.49977
0.01255,1.49976,1.49976
0.0126,1.49976,1.49976
0.01265,1.49976,1.49976
0.0127,1.49976,1.49976
0.01275,1.49976,1.49976
0.0128,1.49975,1.49975
0.01285,1.49975,1.49975
0.0129,1.49975,1.49975
0.01295,1.49975,1.49975
0.013,1.49975,1.49975
0.01305,1.49974,1.49974
0.0131,1.49974,1.49974
0.01315,1.49974,1.49974
0.0132,1.49974,1.49974
0.01325,1.49974,1.49974
0.0133,1.49973,1.49973
0.01335,1.49973,1.49973
0.0134,1.49973,1.49973
0.01345,1.49973,1.49973
0.0135,1.49973,1.49973
0.01355,1.49972,1.49972
0.0136,1.49972,1.49972
0.01365,1.49972,1.49972
0.0137,1.49972,1.49972
0.01375,1.49972,1.49972
0.0138,1.49971,1.49971
0.01385,1.49971,1.49971
0.0139,1.49971,1.49971
0.01395,1.49971,1.49971
0.014,1.49971,1.49971
0.01405,1.4997,1.4997
0.0141,1.4997,1.4997
0.01415,1.4997,1.4997
0.0142,1.4997,1.4997
0.01425,1.4997,1.4997
0.0143,1.49969,1.49969
0.01435,1.49969,1.49969
0.0144,1.49969,1.49969
0.01445,1.49969,1.49969
0.0145,1.49968,1.49968
0.01455,1.49968,1.49968
0.0146,1.49968,1.49968
0.01465,1.49968,1.49968
0.0147,1.49968,1.49968
0.01475,1.49967,1.49967
0.0148,1.49967,1.49967
0.01485,1.49967,1.49967
0.0149,1.49967,1.49967
0.01495,1.49966,1.49966
0.015,1.49966,1.49966
0.01505,1.49966,1.49966
0.0151,1.49966,1.49966
0.01515,1.49966,1.49966
0.0152,1.49965,1.49965
0.01525,1.49965,1.49965
0.0153,1.49965,1.49965
0.01535,1.49965,1.49965
0.0154,1.49964,1.49964
0.01545,1.49964,1.49964
0.0155,1.49964,1.49964
0.01555,1.49964,1.49964
0.0156,1.49963,1.49963
0.01565,1.49963,1.49963
0.0157,1.49963,1.49963
0.01575,1.49963,1.49963
0.0158,1.49963,1.49963
0.01585,1.49962,1.49962
0.0159,1.49962,1.49962
0.01595,1.49962,1.49962
0.016,1.49962,1.49962
0.01605,1.49961,1.49961
0.0161,1.49961,1.49961
0.01615,1.49961,1.49961
0.0162,1.49961,1.49961
0.01625,1.4996,1.4996
0.0163,1.4996,1.4996
0.01635,1.4996,1.4996
0.0164,1.4996,1.4996
0.01645,1.49959,1.49959
0.0165,1.49959,1.49959
0.01655,1.49959,1.49959
0.0166,1.49959,1.49959
0.01665,1.49958,1.49958
0.0167,1.49958,1.49958
0.01675,1.49958,1.49958
0.0168,1.49958,1.49958
0.01685,1.49957,1.49957
0.0169,1.49957,1.49957
0.01695,1.49957,1.49957
0.017,1.49957,1.49957
0.01705,1.49956,1.49956
0.0171,1.49956,1.49956
0.01715,1.49956,1.49956
0.0172,1.49956,1.49956
0.01725,1.49955,1.49955
0.0173,1.49955,1.49955
0.01735,1.49955,1.49955
0.0174,1.49955,1.49955
0.01745,1.49954,1.49954
0.0175,1.49954,1.49954
0.01755,1.49954,1.49954
0.0176,1.49954,1.49954
0.01765,1.49953,1.49953
0.0177,1.49953,1.49953
0.01775,1.49953,1.49953
0.0178,1.49952,1.49952
0.01785,1.49952,1.49952
0.0179,1.49952,1.49952
0.01795,1.49952,1.49952
0.018,1.49951,1.49951
0.01805,1.49951,1.49951
0.0181,1.49951,1.49951
0.01815,1.49951,1.49951
0.0182,1.4995,1.4995
0.01825,1.4995,1.4995
0.0183,1.4995,1.4995
0.01835,1.49949,1.49949
0.0184,1.49949,1.49949
0.01845,1.49949,1.49949
0.0185,1.49949,1.49949
0.01855,1.49948,1.49948
0.0186,1.49948,1.49948
0.01865,1.49948,1.49948
0.0187,1.49948,1.49948
0.01875,1.49947,1.49947
0.0188,1.49947,1.49947
0.01885,1.49947,1.49947
0.0189,1.49946,1.49946
0.01895,1.49946,1.49946
0.019,1.49946,1.49946
0.01905,1.49946,1.49946
0.0191,1.49945,1.49945
0.01915,1.49945,1.49945
0.0192,1.49945,1.49945
0.01925,1.49944,1.49944
0.0193,1.49944,1.49944
0.01935,1.49944,1.49944
0.0194,1.49944,1.49944
0.01945,1.49943,1.49943
0.0195,1.49943,1.49943
0.01955,1.49943,1.49943
0.0196,1.49942,1.49942
0.01965,1.49942,1.49942
0.0197,1.49942,1.49942
0.01975,1.49941,1.49941
0.0198,1.49941,1.49941
0.01985,1.49941,1.49941
0.0199,1.49941,1.49941
0.01995,1.4994,1.4994
0.02,1.4994,1.4994
0.02005,1.4994,1.4994
0.0201,1.49939,1.49939
0.02015,1.49939,1.49939
0.0202,1.49939,1.49939
0.02025,1.49938,1.49938
0.0203,1.49938,1.49938
0.02035,1.49938,1.49938
0.0204,1.49938,1.49938
0.02045,1.49937,1.49937
0.0205,1.49937,1.49937
0.02055,1.49937,1.49937
0.0206,1.49936,1.49936
0.02065,1.49936,1.49936
0.0207,1.49936,1.49936
0.02075,1.49935,1.49935
0.0208,1.49935,1.49935
0.02085,1.49935,1.49935
0.0209,1.49934,1.49934
0.02095,1.49934,1.49934
0.021,1.49934,1.49934
0.02105,1.49934,1.49934
0.0211,1.49933,1.49933
0.02115,1.49933,1.49933
0.0212,1.49933,1.49933
0.02125,1.49932,1.49932
0.0213,1.49932,1.49932
0.02135,1.49932,1.49932
0.0214,1.49931,1.49931
0.02145,1.49931,1.49931
0.0215,1.49931,1.49931
0.02155,1.4993,1.4993
0.0216,1.4993,1.4993
0.02165,1.4993,1.4993
0.0217,1.49929,1.49929
0.02175,1.49929,1.49929
0.0218,1.49929,1.49929
0.02185,1.49928,1.49928
0.0219,1.49928,1.49928
0.02195,1.49928,1.49928
0.022,1.49927,1.49927
0.02205,1.49927,1.49927
0.0221,1.49927,1.49927
0.02215,1.49926,1.49926
0.0222,1.49926,1.49926
0.02225,1.49926,1.49926
0.0223,1.49925,1.49925
0.02235,1.49925,1.49925
0.0224,1.49925,1.49925
0.02245,1.49924,1.49924
0.0225,1.49924,1.49924
0.02255,1.49924,1.49924
0.0226,1.49923,1.49923
0.02265,1.49923,1.49923
0.0227,1.49923,1.49923
0.02275,1.49922,1.49922
0.0228,1.49922,1.49922
0.02285,1.49922,1.49922
0.0229,1.49921,1.49921
0.02295,1.49921,1.49921
0.023,1.49921,1.49921
0.02305,1.4992,1.4992
0.0231,1.4992,1.4992
0.02315,1.4992,1.4992
0.0232,1.49919,1.49919
0.02325,1.49919,1.49919
0.0233,1.49919,1.49919
0.02335,1.49918,1.49918
0.0234,1.49918,1.49918
0.02345,1.49918,1.49918
0.0235,1.49917,1.49917
0.02355,1.49917,1.49917
0.0236,1.49916,1.49916
0.02365,1.49916,1.49916
0.0237,1.49916,1.49916
0.02375,1.49915,1.49915
0.0238,1.49915,1.49915
0.02385,1.49915,1.49915
0.0239,1.49914,1.49914
0.02395,1.49914,1.49914
0.024,1.49914,1.49914
0.02405,1.49913,1.49913
0.0241,1.49913,1.49913
0.02415,1.49913,1.49913
0.0242,1.49912,1.49912
0.02425,1.49912,1.49912
0.0243,1.49911,1.49911
0.02435,1.49911,1.49911
0.0244,1.49911,1.49911
0.02445,1.4991,1.4991
0.0245,1.4991,1.4991
0.02455,1.4991,1.4991
0.0246,1.49909,1.49909
0.02465,1.49909,1.49909
0.0247,1.49908,1.49908
0.02475,1.49908,1.49908
0.0248,1.49908,1.49908
0.02485,1.49907,1.49907
0.0249,1.49907,1.49907
0.02495,1.49907,1.49907
0.025,1.49906,1.49906
0.02505,1.49906,1.49906
0.0251,1.49905,1.49905
0.02515,1.49905,1.49905
0.0252,1.49905,1.49905
0.02525,1.49904,1.49904
0.0253,1.49904,1.49904
0.02535,1.49904,1.49904
0.0254,1.49903,1.49903
0.02545,1.49903,1.49903
0.0255,1.49902,1.49902
0.02555,1.49902,1.49902
0.0256,1.49902,1.49902
0.02565,1.49901,1.49901
0.0257,1.49901,1.49901
0.02575,1.49901,1.49901
0.0258,1.499,1.499
0.02585,1.499,1.499
0.0259,1.49899,1.49899
0.02595,1.49899,1.49899
0.026,1.49899,1.49899
0.02605,1.49898,1.49898
0.0261,1.49898,1.49898
0.02615,1.49897,1.49897
0.0262,1.49897,1.49897
0.02625,1.49897,1.49897
0.0263,1.49896,1.49896
0.02635,1.49896,1.49896
0.0264,1.49895,1.49895
0.02645,1.49895,1.49895
0.0265,1.49895,1.49895
0.02655,1.49894,1.49894
0.0266,1.49894,1.49894
0.02665,1.49893,1.49893
0.0267,1.49893,1.49893
0.02675,1.49893,1.49893
0.0268,1.49892,1.49892
0.02685,1.49892,1.49892
0.0269,1.49891,1.49891
0.02695,1.49891,1.49891
0.027,1.49891,1.49891
0.02705,1.4989,1.4989
0.0271,1.4989,1.4989
0.02715,1.49889,1.49889
0.0272,1.49889,1.49889
0.02725,1.49889,1.49889
0.0273,1.49888,1.49888
0.02735,1.49888,1.49888
0.0274,1.49887,1.49887
0.02745,1.49887,1.49887
0.0275,1.49887,1.49887
0.02755,1.49886,1.49886
0.0276,1.49886,1.49886
0.02765,1.49885,1.49885
0.0277,1.49885,1.49885
0.02775,1.49884,1.49884
0.0278,1.49884,1.49884
0.02785,1.49884,1.49884
0.0279,1.49883,1.49883
0.02795,1.49883,1.49883
0.028,1.49882,1.49882
0.02805,1.49882,1.49882
0.0281,1.49882,1.49882
0.02815,1.49881,1.49881
0.0282,1.49881,1.49881
0.02825,1.4988,1.4988
0.0283,1.4988,1.4988
0.02835,1.49879,1.49879
0.0284,1.49879,1.49879
0.02845,1.49879,1.49879
0.0285,1.49878,1.49878
0.02855,1.49878,1.49878
0.0286,1.49877,1.49877
0.02865,1.49877,1.49877
0.0287,1.49876,1.49876
0.02875,1.49876,1.49876
0.0288,1.49876,1.49876
0.02885,1.49875,1.49875
0.0289,1.49875,1.49875
0.02895,1.49874,1.49874
0.029,1.49874,1.49874
0.02905,1.49873,1.49873
0.0291,1.49873,1.49873
0.02915,1.49873,1.49873
0.0292,1.49872,1.49872
0.02925,1.49872,1.49872
0.0293,1.49871,1.49871
0.02935,1.49871,1.49871
0.0294,1.4987,1.4987
0.02945,1.4987,1.4987
0.0295,1.49869,1.49869
0.02955,1.49869,1.49869
0.0296,1.49869,1.49869
0.02965,1.49868,1.49868
0.0297,1.49868,1.49868
0.02975,1.49867,1.49867
0.0298,1.49867,1.49867
0.02985,1.49866,1.49866
0.0299,1.49866,1.49866
0.02995,1.49865,1.49865
0.03,1.49865,1.49865
0.03005,1.49865,1.49865
0.0301,1.49864,1.49864
0.03015,1.49864,1.49864
0.0302,1.49863,1.49863
0.03025,1.49863,1.49863
0.0303,1.49862,1.49862
0.03035,1.49862,1.49862
0.0304,1.49861,1.49861
0.03045,1.49861,1.49861
0.0305,1.4986,1.4986
0.03055,1.4986,1.4986
0.0306,1.4986,1.4986
0.03065,1.49859,1.49859
0.0307,1.49859,1.49859
0.03075,1.49858,1.49858
0.0308,1.49858,1.49858
0.03085,1.49857,1.49857
0.0309,1.49857,1.49857
0.03095,1.49856,1.49856
0.031,1.49856,1.49856
0.03105,1.49855,1.49855
0.0311,1.49855,1.49855
0.03115,1.49854,1.49854
0.0312,1.49854,1.49854
0.03125,1.49854,1.49854
0.0313,1.49853,1.49853
0.03135,1.49853,1.49853
0.0314,1.49852,1.49852
0.03145,1.49852,1.49852
0.0315,1.49851,1.49851
0.03155,1.49851,1.49851
0.0316,1.4985,1.4985
0.03165,1.4985,1.4985
0.0317,1.49849,1.49849
0.03175,1.49849,1.49849
0.0318,1.49848,1.49848
0.03185,1.49848,1.49848
0.0319,1.49847,1.49847
0.03195,1.49847,1.49847
0.032,1.49846,1.49846
0.03205,1.49846,1.49846
0.0321,1.49845,1.49845
0.03215,1.49845,1.49845
0.0322,1.49844,1.49844
0.03225,1.49844,1.49844
0.0323,1.49844,1.49844
0.03235,1.49843,1.49843
0.0324,1.49843,1.49843
