d,uh,u
0,1.5,1.5
0.005,1.49996,1.49996
0.01,1.49985,1.49985
0.015,1.49966,1.49966
0.02,1.4994,1.4994
0.025,1.49906,1.49906
0.03,1.49865,1.49865
0.035,1.49816,1.49816
0.04,1.4976,1.4976
0.045,1.49696,1.49696
0.05,1.49625,1.49625
0.055,1.49546,1.49546
0.06,1.4946,1.4946
0.065,1.49366,1.49366
0.07,1.49265,1.49265
0.075,1.49156,1.49156
0.08,1.4904,1.4904
0.085,1.48916,1.48916
0.09,1.48785,1.48785
0.095,1.48646,1.48646
0.1,1.485,1.485
0.105,1.48346,1.48346
0.11,1.48185,1.48185
0.115,1.48016,1.48016
0.12,1.4784,1.4784
0.125,1.47656,1.47656
0.13,1.47465,1.47465
0.135,1.47266,1.47266
0.14,1.4706,1.4706
0.145,1.46846,1.46846
0.15,1.46625,1.46625
0.155,1.46396,1.46396
0.16,1.4616,1.4616
0.165,1.45916,1.45916
0.17,1.45665,1.45665
0.175,1.45406,1.45406
0.18,1.4514,1.4514
0.185,1.44866,1.44866
0.19,1.44585,1.44585
0.195,1.44296,1.44296
0.2,1.44,1.44
0.205,1.43696,1.43696
0.21,1.43385,1.43385
0.215,1.43066,1.43066
0.22,1.4274,1.4274
0.225,1.42406,1.42406
0.23,1.42065,1.42065
0.235,1.41716,1.41716
0.24,1.4136,1.4136
0.245,1.40996,1.40996
0.25,1.40625,1.40625
0.255,1.40246,1.40246
0.26,1.3986,1.3986
0.265,1.39466,1.39466
0.27,1.39065,1.39065
0.275,1.38656,1.38656
0.28,1.3824,1.3824
0.285,1.37816,1.37816
0.29,1.37385,1.37385
0.295,1.36946,1.36946
0.3,1.365,1.365
0.305,1.36046,1.36046
0.31,1.35585,1.35585
0.315,1.35116,1.35116
0.32,1.3464,1.3464
0.325,1.34156,1.34156
0.33,1.33665,1.33665
0.335,1.33166,1.33166
0.34,1.3266,1.3266
0.345,1.32146,1.32146
0.35,1.31625,1.31625
0.355,1.31096,1.31096
0.36,1.3056,1.3056
0.365,1.30016,1.30016
0.37,1.29465,1.29465
0.375,1.28906,1.28906
0.38,1.2834,1.2834
0.385,1.27766,1.27766
0.39,1.27185,1.27185
0.395,1.26596,1.26596
0.4,1.26,1.26
0.405,1.25396,1.25396
0.41,1.24785,1.24785
0.415,1.24166,1.24166
0.42,1.2354,1.2354
0.425,1.22906,1.22906
0.43,1.22265,1.22265
0.435,1.21616,1.21616
0.44,1.2096,1.2096
0.445,1.20296,1.20296
0.45,1.19625,1.19625
0.455,1.18946,1.18946
0.46,1.1826,1.1826
0.465,1.17566,1.17566
0.47,1.16865,1.16865
0.475,1.16156,1.16156
0.48,1.1544,1.1544
0.485,1.14716,1.14716
0.49,1.13985,1.13985
0.495,1.13246,1.13246
0.5,1.125,1.125
0.505,1.11746,1.11746
0.51,1.10985,1.10985
0.515,1.10216,1.10216
0.52,1.0944,1.0944
0.525,1.08656,1.08656
0.53,1.07865,1.07865
0.535,1.07066,1.07066
0.54,1.0626,1.0626
0.545,1.05446,1.05446
0.55,1.04625,1.04625
0.555,1.03796,1.03796
0.56,1.0296,1.0296
0.565,1.02116,1.02116
0.57,1.01265,1.01265
0.575,1.00406,1.00406
0.58,0.9954,0.9954
0.585,0.986662,0.986662
0.59,0.97785,0.97785
0.595,0.968962,0.968962
0.6,0.96,0.96
0.605,0.950962,0.950962
0.61,0.94185,0.94185
0.615,0.932662,0.932662
0.62,0.9234,0.9234
0.625,0.914062,0.914062
0.63,0.90465,0.90465
0.635,0.895162,0.895163
0.64,0.8856,0.8856
0.645,0.875962,0.875962
0.65,0.86625,0.86625
0.655,0.856462,0.856463
0.66,0.8466,0.8466
0.665,0.836662,0.836662
0.67,0.82665,0.82665
0.675,0.816562,0.816562
0.68,0.8064,0.8064
0.685,0.796162,0.796162
0.69,0.78585,0.78585
0.695,0.775462,0.775462
0.7,0.765,0.765
0.705,0.754462,0.754463
0.71,0.74385,0.74385
0.715,0.733162,0.733163
0.72,0.7224,0.7224
0.725,0.711562,0.711562
0.73,0.70065,0.70065
0.735,0.689662,0.689663
0.74,0.6786,0.6786
0.745,0.667462,0.667463
0.75,0.65625,0.65625
0.755,0.644962,0.644962
0.76,0.6336,0.6336
0.765,0.622162,0.622162
0.77,0.61065,0.61065
0.775,0.599062,0.599062
0.78,0.5874,0.5874
0.785,0.575662,0.575662
0.79,0.56385,0.56385
0.795,0.551962,0.551962
0.8,0.54,0.54
0.805,0.527962,0.527962
0.81,0.51585,0.51585
0.815,0.503662,0.503662
0.82,0.4914,0.4914
0.825,0.479062,0.479062
0.83,0.46665,0.46665
0.835,0.454162,0.454163
0.84,0.4416,0.4416
0.845,0.428962,0.428963
0.85,0.41625,0.41625
0.855,0.403462,0.403463
0.86,0.3906,0.3906
0.865,0.377662,0.377662
0.87,0.36465,0.36465
0.875,0.351562,0.351562
0.88,0.3384,0.3384
0.885,0.325162,0.325162
0.89,0.31185,0.31185
0.895,0.298462,0.298463
0.9,0.285,0.285
0.905,0.271462,0.271462
0.91,0.25785,0.25785
0.915,0.244162,0.244162
0.92,0.2304,0.2304
0.925,0.216562,0.216562
0.93,0.20265,0.20265
0.935,0.188662,0.188662
0.94,0.1746,0.1746
0.945,0.160462,0.160462
0.95,0.14625,0.14625
0.955,0.131962,0.131962
0.96,0.1176,0.1176
0.965,0.103162,0.103163
0.97,0.08865,0.08865
0.975,0.0740625,0.0740625
0.98,0.0594,0.0594
0.985,0.0446625,0.0446625
0.99,0.02985,0.02985
0.995,0.0149625,0.0149625
1,0,0
