d,uh,u
0,0.0833334,0.0833333
0.0005,0.0833334,0.0833333
0.001,0.0833334,0.0833333
0.0015,0.0833334,0.0833333
0.002,0.0833334,0.0833333
0.0025,0.0833334,0.0833333
0.003,0.0833334,0.0833333
0.0035,0.0833334,0.0833333
0.004,0.0833334,0.0833333
0.0045,0.0833334,0.0833333
0.005,0.0833334,0.0833333
0.0055,0.0833334,0.0833333
0.006,0.0833334,0.0833333
0.0065,0.0833334,0.0833333
0.007,0.0833334,0.0833333
0.0075,0.0833334,0.0833333
0.008,0.0833334,0.0833333
0.0085,0.0833334,0.0833333
0.009,0.0833334,0.0833333
0.0095,0.0833334,0.0833333
0.01,0.0833334,0.0833333
0.0105,0.0833334,0.0833333
0.011,0.0833334,0.0833333
0.0115,0.0833334,0.0833333
0.012,0.0833334,0.0833333
0.0125,0.0833334,0.0833333
0.013,0.0833334,0.0833333
0.0135,0.0833334,0.0833333
0.014,0.0833334,0.0833333
0.0145,0.0833334,0.0833333
0.015,0.0833334,0.0833333
0.0155,0.0833334,0.0833333
0.016,0.0833334,0.0833333
0.0165,0.0833334,0.0833333
0.017,0.0833334,0.0833333
0.0175,0.0833334,0.0833333
0.018,0.0833334,0.0833333
0.0185,0.0833334,0.0833333
0.019,0.0833334,0.0833333
0.0195,0.0833334,0.0833333
0.02,0.0833334,0.0833333
0.0205,0.0833334,0.0833333
0.021,0.0833334,0.0833333
0.0215,0.0833334,0.0833333
0.022,0.0833334,0.0833333
0.0225,0.0833334,0.0833333
0.023,0.0833334,0.0833333
0.0235,0.0833334,0.0833333
0.024,0.0833334,0.0833333
0.0245,0.0833334,0.0833333
0.025,0.0833334,0.0833333
0.0255,0.0833334,0.0833333
0.026,0.0833334,0.0833333
0.0265,0.0833334,0.0833333
0.027,0.0833334,0.0833333
0.0275,0.0833334,0.0833333
0.028,0.0833334,0.0833333
0.0285,0.0833334,0.0833333
0.029,0.0833334,0.0833333
0.0295,0.0833334,0.0833333
0.03,0.0833333,0.0833333
0.0305,0.0833333,0.0833333
0.031,0.0833333,0.0833333
0.0315,0.0833333,0.0833333
0.032,0.0833333,0.0833332
0.0325,0.0833333,0.0833332
0.033,0.0833333,0.0833332
0.0335,0.0833333,0.0833332
0.034,0.0833333,0.0833332
0.0345,0.0833333,0.0833332
0.035,0.0833333,0.0833332
0.0355,0.0833333,0.0833332
0.036,0.0833333,0.0833332
0.0365,0.0833333,0.0833332
0.037,0.0833333,0.0833332
0.0375,0.0833333,0.0833332
0.038,0.0833332,0.0833332
0.0385,0.0833332,0.0833332
0.039,0.0833332,0.0833331
0.0395,0.0833332,0.0833331
0.04,0.0833332,0.0833331
0.0405,0.0833332,0.0833331
0.041,0.0833332,0.0833331
0.0415,0.0833332,0.0833331
0.042,0.0833332,0.0833331
0.0425,0.0833331,0.0833331
0.043,0.0833331,0.083333
0.0435,0.0833331,0.083333
0.044,0.0833331,0.083333
0.0445,0.0833331,0.083333
0.045,0.0833331,0.083333
0.0455,0.0833331,0.083333
0.046,0.083333,0.083333
0.0465,0.083333,0.0833329
0.047,0.083333,0.0833329
0.0475,0.083333,0.0833329
0.048,0.083333,0.0833329
0.0485,0.083333,0.0833329
0.049,0.0833329,0.0833329
0.0495,0.0833329,0.0833328
0.05,0.0833329,0.0833328
0.0505,0.0833329,0.0833328
0.051,0.0833329,0.0833328
0.0515,0.0833328,0.0833327
0.052,0.0833328,0.0833327
0.0525,0.0833328,0.0833327
0.053,0.0833328,0.0833327
0.0535,0.0833327,0.0833327
0.054,0.0833327,0.0833326
0.0545,0.0833327,0.0833326
0.055,0.0833327,0.0833326
0.0555,0.0833326,0.0833325
0.056,0.0833326,0.0833325
0.0565,0.0833326,0.0833325
0.057,0.0833325,0.0833325
0.0575,0.0833325,0.0833324
0.058,0.0833325,0.0833324
0.0585,0.0833324,0.0833324
0.059,0.0833324,0.0833323
0.0595,0.0833324,0.0833323
0.06,0.0833323,0.0833323
0.0605,0.0833323,0.0833322
0.061,0.0833323,0.0833322
0.0615,0.0833322,0.0833321
0.062,0.0833322,0.0833321
0.0625,0.0833321,0.0833321
0.063,0.0833321,0.083332
0.0635,0.0833321,0.083332
0.064,0.083332,0.0833319
0.0645,0.083332,0.0833319
0.065,0.0833319,0.0833318
0.0655,0.0833319,0.0833318
0.066,0.0833318,0.0833318
0.0665,0.0833318,0.0833317
0.067,0.0833317,0.0833317
0.0675,0.0833317,0.0833316
0.068,0.0833316,0.0833316
0.0685,0.0833316,0.0833315
0.069,0.0833315,0.0833314
0.0695,0.0833315,0.0833314
0.07,0.0833314,0.0833313
0.0705,0.0833314,0.0833313
0.071,0.0833313,0.0833312
0.0715,0.0833312,0.0833312
0.072,0.0833312,0.0833311
0.0725,0.0833311,0.083331
0.073,0.083331,0.083331
0.0735,0.083331,0.0833309
0.074,0.0833309,0.0833308
0.0745,0.0833308,0.0833308
0.075,0.0833308,0.0833307
0.0755,0.0833307,0.0833306
0.076,0.0833306,0.0833306
0.0765,0.0833306,0.0833305
0.077,0.0833305,0.0833304
0.0775,0.0833304,0.0833303
0.078,0.0833303,0.0833302
0.0785,0.0833303,0.0833302
0.079,0.0833302,0.0833301
0.0795,0.0833301,0.08333
0.08,0.08333,0.0833299
0.0805,0.0833299,0.0833298
0.081,0.0833298,0.0833297
0.0815,0.0833297,0.0833297
0.082,0.0833296,0.0833296
0.0825,0.0833296,0.0833295
0.083,0.0833295,0.0833294
0.0835,0.0833294,0.0833293
0.084,0.0833293,0.0833292
0.0845,0.0833292,0.0833291
0.085,0.0833291,0.083329
0.0855,0.083329,0.0833289
0.086,0.0833289,0.0833288
0.0865,0.0833287,0.0833287
0.087,0.0833286,0.0833286
0.0875,0.0833285,0.0833284
0.088,0.0833284,0.0833283
0.0885,0.0833283,0.0833282
0.089,0.0833282,0.0833281
0.0895,0.0833281,0.083328
0.09,0.0833279,0.0833279
0.0905,0.0833278,0.0833277
0.091,0.0833277,0.0833276
0.0915,0.0833276,0.0833275
0.092,0.0833274,0.0833274
0.0925,0.0833273,0.0833272
0.093,0.0833272,0.0833271
0.0935,0.083327,0.083327
0.094,0.0833269,0.0833268
0.0945,0.0833268,0.0833267
0.095,0.0833266,0.0833265
0.0955,0.0833265,0.0833264
0.096,0.0833263,0.0833263
0.0965,0.0833262,0.0833261
0.097,0.083326,0.083326
0.0975,0.0833259,0.0833258
0.098,0.0833257,0.0833256
0.0985,0.0833256,0.0833255
0.099,0.0833254,0.0833253
0.0995,0.0833252,0.0833252
0.1,0.0833251,0.083325
0.1005,0.0833249,0.0833248
0.101,0.0833247,0.0833247
0.1015,0.0833246,0.0833245
0.102,0.0833244,0.0833243
0.1025,0.0833242,0.0833241
0.103,0.083324,0.083324
0.1035,0.0833239,0.0833238
0.104,0.0833237,0.0833236
0.1045,0.0833235,0.0833234
0.105,0.0833233,0.0833232
0.1055,0.0833231,0.083323
0.106,0.0833229,0.0833228
0.1065,0.0833227,0.0833226
0.107,0.0833225,0.0833224
0.1075,0.0833223,0.0833222
0.108,0.0833221,0.083322
0.1085,0.0833219,0.0833218
0.109,0.0833217,0.0833216
0.1095,0.0833214,0.0833214
0.11,0.0833212,0.0833211
0.1105,0.083321,0.0833209
0.111,0.0833208,0.0833207
0.1115,0.0833205,0.0833205
